ID,Code,Address/Intersection/Area,Latitude,Longitude,"Date of cleanup, inspection or posting",Staff hours,# staff members,Pieces of equipment used,Items to storage?,Hazmat,Yards of debris,Images?
363535,PFI10,WM,44.0417617668570,-123.115672605352,Jan-21,0,1,0,No,,0,Yes
363543,PFI10,WM,44.0416310237716,-123.115464974980,Jan-21,0,1,0,No,,0,Yes
363568,PFI10,LO,44.0992691439280,-123.122136800766,Jan-21,0,1,0,No,,0,Yes
363569,SFS30,Oakway/Hideaway,44.0740727791002,-123.078427227017,Jan-21,1,1,1,No,,0,No
363573,PFI10,Oak Patch,44.0462272963862,-123.135280560985,Jan-21,3,3,2,No,,0,Yes
363576,PFI10,Acorn Park,44.0469940769923,-123.137525021295,Jan-21,1.5,3,2,No,,0,Yes
363577,PFI10,Acorn,44.0473114589458,-123.138405261463,Jan-21,12,3,3,No,Needles,10,Yes
363581,SFS30,1021 Hilyard St,44.0487348212926,-123.081704013086,Jan-21,0.5,1,1,No,,0,No
363589,PFI10,Pin location,44.0533920235166,-123.079225902945,Jan-21,0,1,1,No,,0,No
363593,SFS30,E 30th/Hilyard,44.0241714755736,-123.081483460457,Jan-21,2,2,2,No,,0,No
363594,SFS30,E 32nd/Hilyard,44.0218565016415,-123.081500586086,Jan-21,1,1,1,No,,0,No
363611,SFS30,E 16th/Riverview,44.0415951743647,-123.051762793360,Jan-21,1,1,1,No,,0,No
363701,SFS30,Beltline/River Road,44.0970956189028,-123.128538500258,Jan-21,3,2,3,No,,1,No
363702,SFS30,W 18th/Lincoln,44.0401200195520,-123.097661096016,Jan-21,1.5,3,3,No,,0,No
363715,PFI10,Washington Jefferson,44.0584733821937,-123.101205421476,Jan-21,0.75,2,1,No,,0,Yes
363718,PFI10,Washington/Clark,44.0598167497899,-123.100636118265,Jan-21,2,1,1,No,,0,Yes
363719,PFI10,Washington/Cheshire,44.0606295767879,-123.100779264825,Jan-21,2,1,1,No,,0,Yes
363751,SFS30,13th/Chambers,44.0454071222206,-123.117795880187,Jan-21,0.5,1,1,No,,0,No
363760,PFI10,Owen Rose,44.0626191344410,-123.101645902495,Jan-21,0.25,1,1,No,,0,Yes
363769,PFI10,SB,44.0571137751702,-123.090530293389,Jan-21,0.5,1,1,No,,0,Yes
363774,PFI10,SB,44.0584391326816,-123.089829392639,Jan-21,0.75,1,1,No,,0,Yes
363832,SFS30,106 Cleveland St,44.0600230128570,-123.130134629064,Jan-21,1,1,1,No,,0,No
363867,SFS30,1699 N Terry St,44.0790254126946,-123.188121943815,Jan-21,1,1,1,No,,0,No
363869,SFS30,11th/Beltline,44.0481263478040,-123.172880934349,Jan-21,0.5,1,1,No,,0,No
363934,PFI10,SB,44.0638145163783,-123.103565484639,Jan-21,0.5,1,1,No,,0,Yes
363947,PFI10,Walnut Grove,44.0875870206764,-123.147940984679,Feb-21,4.3,2,2,Yes; expired,,0,No
363979,SFS30,737 W 6th Ave,44.0536806694831,-123.103954636455,Jan-21,1,1,1,No,,0,No
364020,SFS30,Throne/Unthank,44.0683610556093,-123.182425251180,Jan-21,3,3,1,No,,0,No
364023,SFS30,480 Lawrence St,44.0545674894352,-123.099072359423,Jan-21,2.5,3,3,No,,0,No
364026,SFS30,Division Ave,44.0975213769193,-123.110058378221,Jan-21,3,2,3,No,,0,No
364176,PFI10,OPW,44.0469268770580,-123.136642481827,Jan-21,0,1,0,No,,0,Yes
364196,PFI10,Amazon,44.0302628364683,-123.085357513487,Jan-21,1,1,1,No,,0,Yes
364207,PFI10,Whilamut,44.0533152054885,-123.070832230590,Jan-21,0.5,1,1,No,,0,Yes
364210,PFI10,Whilamut,44.0522105985641,-123.067272431308,Jan-21,0.25,1,1,No,,0,Yes
364215,PFI10,SB,44.0585733570590,-123.086951027682,Jan-21,0.25,1,1,No,,0,Yes
364221,SFS30,Owen Loop N/Ed Code,44.0534475772571,-123.191770541135,Jan-21,11,4,5,No,,0*,Yes
364228,SFS30,7th/Oscar,44.0517636650260,-123.171291442505,Jan-21,15.5,5,5,No,,0*,Yes
364343,PFI10,Tugman,44.0132058392775,-123.085695267799,Feb-21,0,1,0,No,,0,Yes
364371,PFI10,SB,44.0568214663543,-123.091310709847,Feb-21,1.5,1,1,No,,0,Yes
364374,PFI11,SB,44.0579161463879,-123.084788798974,Feb-21,1.75,2,2,No,,0,Yes
364436,PFI10,Oak Patch West,44.0468631784945,-123.136612485987,Feb-21,1,1,1,No,,0,Yes
364469,PFI10,Amazon,44.0255590562812,-123.082100322478,Feb-21,0.25,1,1,No,,0,Yes
364477,PFI10,Westmoreland,44.0410172257487,-123.115468350072,Feb-21,0,1,0,No,,0,Yes
364495,PFI10,AB,44.0563483376182,-123.069230783653,Feb-21,2.5,3,2,No,,0,Yes
364505,PFI10,Whilamut,44.0534135138064,-123.071231309759,Feb-21,0.5,1,1,No,,0,Yes
364589,SFS30,7th Ave/Van Buren,44.0521584333044,-123.109412459984,Feb-21,0.5,1,1,No,,0,No
364592,SFS30,13th/Chambers,44.0455421809470,-123.118039543128,Feb-21,0.5,1,1,No,,0,No
364594,SFS30,7th Aly/Van Buren,44.0516106019505,-123.109413504338,Feb-21,0.5,1,1,No,,0,No
364595,PFI10,WJ,44.0539646898170,-123.101423059890,Feb-21,1.5,2,1,No,,0,Yes
364596,PFI10,WJ,44.0539088065848,-123.101735024868,Feb-21,0.5,2,1,No,,0,Yes
364599,PFI10,WJ,44.0537365663193,-123.102100279708,Feb-21,0.25,1,1,No,,0,Yes
364603,PFI10,WJ,44.0536911275117,-123.102159123285,Feb-21,0.25,1,1,No,,0,Yes
364609,PFI10,WJ,44.0528250862886,-123.101694570062,Feb-21,3,2,1,No,,0,Yes
364610,PFI10,WJ,44.0530379524686,-123.101834708242,Feb-21,0.5,2,1,No,,0,Yes
364612,PFI10,WJ,44.0529749894905,-123.101755463098,Feb-21,0.5,2,1,No,,0,Yes
364613,PFI10,WJ,44.0530157956633,-123.101742614189,Feb-21,0.5,2,0,No,,0,Yes
364614,PFI10,WJ,44.0530354705352,-123.101768681350,Feb-21,0.5,2,1,No,,0,Yes
364616,PFI10,WJ,44.0530902711262,-123.101742077884,Feb-21,0.5,2,1,No,,0,Yes
364649,PFI10,Amazon,44.0255590562812,-123.082100322478,Feb-21,0.25,2,1,No,,0,Yes
364661,SFS30,Pin location,44.0615732018220,-123.080137319629,Feb-21,1,1,1,No,,0,No
364691,PFI10,Oak Patch West,44.0472431571522,-123.137405070500,Feb-21,1.5,1,1,No,,0,Yes
364723,SFS30,4135 Quest Drive,44.0854905877975,-123.165015732525,Feb-21,1,1,1,No,,0,No
364742,PFI11,Knickerbocker,44.0445821356784,-123.052422027451,Feb-21,0.75,1,1,No,,0,Yes
364854,PFI10,Chase Commons,44.0605259290722,-123.052561814248,Feb-21,3.5,1,1,No,,0,Yes
364863,PFI10,Whilamut,44.0528592629481,-123.068224000136,Feb-21,0.5,1,1,No,,0,Yes
364875,PFI11,MJ,44.0640465491552,-123.103798386951,Feb-21,1.5,1,1,No,,0,Yes
364914,PFI10,North Bank,44.0612679525667,-123.089379488257,Feb-21,83,14,7,No,,0,Yes
364987,SFS30,W 1st/Premier,44.0581043668838,-123.169585439881,Feb-21,7,4,3,No,,0,No
364994,SFS30,11th/Beltline,44.0481263478040,-123.172880934349,Feb-21,1,1,1,No,,0,No
365003,SFS30,5th/Almaden,44.0544065965541,-123.115468918008,Feb-21,0.5,1,1,No,,0,No
365005,SFS30,1520 W 5th Ave,44.0541131608665,-123.115968096999,Feb-21,0.5,1,1,No,,0,No
365006,SFS30,5th/Almaden,44.0543984755960,-123.115485670921,Feb-21,0.5,1,1,No,,0,No
365011,SFS30,I-105/Coburg,44.0617552676835,-123.080578633519,Feb-21,0.5,1,1,No,,0,No
365013,SFS30,I-105/Coburg,44.0617552676835,-123.080578633519,Feb-21,1,1,1,No,,0,No
365014,SFS30,I-105/Coburg,44.0623397192984,-123.079990895999,Feb-21,4,3,3,No,,1,No
365021,SFS30,400 Goodpasture Island,44.0757961602169,-123.107680827076,Feb-21,4,3,3,No,,2,No
365023,SFS30,3690 Glenwood Drive,44.0344457450773,-123.038054684900,Feb-21,3,3,3,No,,0,No
365024,SFS30,7th/Nolan,44.0517450734946,-123.170561502106,Feb-21,10,4,3,No,Called NW Hazmat,8,Yes
365026,SFS30,W 7th Ave/Commercial,44.0517081011848,-123.167144878244,Feb-21,6,4,3,No,,0,No
365030,SFS30,Lone Oak/Division,44.0987173793114,-123.124593205968,Feb-21,1,1,1,No,,0,No
365034,PFI11,West Bank,44.0755329669800,-123.115752433467,Feb-21,0.5,1,1,No,,0,Yes
365035,SFS30,1107 S Bertelsen Road,44.0475494571083,-123.162058351328,Feb-21,1,2,3,No,,0,No
365039,SFS30,2nd/Jackson,44.0575832576939,-123.107991429447,Feb-21,0.5,1,1,No,,0,No
365351,PFI10,Westmoreland,44.0420892453541,-123.115648717307,Feb-21,0,1,0,No,,0,Yes
365352,PFI10,Westmoreland,44.0420489726382,-123.115933449400,Feb-21,0,1,0,No,,0,Yes
365378,PFI11,SB,44.0640795025818,-123.104749829320,Feb-21,0.5,1,1,No,,0,Yes
365380,PFI11,SB,44.0639440318943,-123.103648115823,Feb-21,0.5,1,1,No,,0,Yes
365382,PFI11,SB,44.0639377725389,-123.103577918101,Feb-21,0.5,1,1,No,,0,Yes
365393,PFI10,AP,44.0302188034113,-123.085769841580,Feb-21,1,1,1,No,,0,Yes
365415,SFS30,W 7th/Bertelsen,44.0516370730171,-123.162468788546,Feb-21,1,1,1,No,,0,No
365526,SFS30,13th/Bailey Hill,44.0461338782623,-123.147852209687,Feb-21,0.5,1,1,No,,0,No
365583,PFI10,WM,44.0413810314772,-123.115442664215,Feb-21,2,2,0,No,,0,Yes
365737,PFI10,Garfield,44.0425041328178,-123.118919937041,Feb-21,0,1,0,No,,0,Yes
365767,PFI10,WJ,44.0569425317037,-123.100497454735,Feb-21,0.25,1,1,No,,0,Yes
365813,PFI11,Knickerbocker,44.0442994402062,-123.052039963793,Feb-21,0.5,1,1,No,,0,Yes
365814,PFI10,WB,44.0688498318331,-123.115416496139,Feb-21,0,1,0,No,,0,Yes
365827,PFI10,Rasor,44.0732211004688,-123.116371864590,Feb-21,0,1,0,No,,0,Yes
365907,PFI10,Garfield,44.0426060819432,-123.119002750009,Feb-21,0,1,0,No,,0,Yes
365958,PFI10,Lone Oak,44.0987880189620,-123.120634430011,Feb-21,0.5,1,1,No,,0,Yes
365961,PFI10,Lone Oak,44.0987482086952,-123.122402655439,Feb-21,0.25,1,1,No,,0,Yes
366058,PFI11,Whilamut,44.0495528108879,-123.063259446423,Feb-21,0.5,1,1,No,,0,Yes
366077,SFS30,500 6th St,44.0533319252080,-123.103317098736,Feb-21,6,4,3,No,Needles,6,No
366090,SFS30,Lone Oak/Lone Oak,44.0990265676294,-123.123353712581,Feb-21,1,1,1,No,,0,No
366325,SFS30,Franklin/Walnut,44.0449403749723,-123.061484692514,Jan-21,4,3,2,No,,1,No
366326,SFS30,W 8th/Monroe,44.0509089177490,-123.104851085603,Feb-21,1.5,3,2,No,,0,No
366334,PFI10,Delta Ponds,44.0741410543517,-123.110986534432,Feb-21,0.5,1,1,No,,0,Yes
366371,PFI10,Garfield,44.0425197828747,-123.120093619417,Feb-21,0,1,0,No,,0,Yes
366397,PFI11,Knickerbocker,44.0446476814573,-123.052438529014,Feb-21,0.5,1,1,No,,0,Yes
